RV32PMP,"PMP, Physical Memory Protection",1.12
xlen,32
""
Extension,Subset,Instruction,Description,Covergroup,Coverpoint,Coverpoint Description,Coverage Level,Pass/Fail Criteria,Test Type,Coverage Method
RV32PMP,,pmpcfg0,"PMP, Physical Memory Protection",pmpcfg0_cg,,,,,,
,,,,,cp_pmpcfg0_pmp0cfg_xwr,pmpcfg0 (CSR) field pmp0 xwr,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg0_pmp0cfg_a,pmpcfg0 (CSR) field pmp0 a,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg0_pmp0cfg_l,pmpcfg0 (CSR) field pmp0 l,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg0_pmp1cfg_xwr,pmpcfg0 (CSR) field pmp1 xwr,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg0_pmp1cfg_a,pmpcfg0 (CSR) field pmp1 a,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg0_pmp1cfg_l,pmpcfg0 (CSR) field pmp1 l,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg0_pmp2cfg_xwr,pmpcfg0 (CSR) field pmp2 xwr,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg0_pmp2cfg_a,pmpcfg0 (CSR) field pmp2 a,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg0_pmp2cfg_l,pmpcfg0 (CSR) field pmp2 l,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg0_pmp3cfg_xwr,pmpcfg0 (CSR) field pmp3 xwr,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg0_pmp3cfg_a,pmpcfg0 (CSR) field pmp3 a,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg0_pmp3cfg_l,pmpcfg0 (CSR) field pmp3 l,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_wr_count,Number of times csr is written,Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
RV32PMP,,pmpcfg1,"PMP, Physical Memory Protection",pmpcfg1_cg,,,,,,
,,,,,cp_pmpcfg1_pmp4cfg_xwr,pmpcfg1 (CSR) field pmp4 xwr,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg1_pmp4cfg_a,pmpcfg1 (CSR) field pmp4 a,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg1_pmp4cfg_l,pmpcfg1 (CSR) field pmp4 l,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg1_pmp5cfg_xwr,pmpcfg1 (CSR) field pmp5 xwr,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg1_pmp5cfg_a,pmpcfg1 (CSR) field pmp5 a,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg1_pmp5cfg_l,pmpcfg1 (CSR) field pmp5 l,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg1_pmp6cfg_xwr,pmpcfg1 (CSR) field pmp6 xwr,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg1_pmp6cfg_a,pmpcfg1 (CSR) field pmp6 a,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg1_pmp6cfg_l,pmpcfg1 (CSR) field pmp6 l,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg1_pmp7cfg_xwr,pmpcfg1 (CSR) field pmp7 xwr,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg1_pmp7cfg_a,pmpcfg1 (CSR) field pmp7 a,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_pmpcfg1_pmp7cfg_l,pmpcfg1 (CSR) field pmp7 l,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_wr_count,Number of times csr is written,Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
RV32PMP,,pmpcfg2,"PMP, Physical Memory Protection",pmpcfg2_cg,,,,,,
,,,,,cp_pmpcfg2_pmp8cfg_xwr,pmpcfg2 (CSR) field pmp8 xwr,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
